#Time	T1	T2	T3
11 08 41	767.4	783.5	368.1
11 08 42	767.4	783.4	368
11 08 43	767.4	783.4	367.9
11 08 44	767.3	783.4	367.8
11 08 45	767.2	783.4	367.7
11 08 46	767.1	783.3	367.7
11 08 47	767	783.3	367.6
11 08 48	767	783.3	367.5
11 08 49	766.9	783.3	367.5
11 08 50	766.7	783.2	367.4
11 08 51	766.6	783.2	367.3
11 08 52	766.5	783.2	367.2
11 08 53	766.4	783.1	367.1
11 08 54	766.3	783.1	367.1
11 08 55	766.2	783.1	367
11 08 56	766.2	783	366.9
11 08 57	766.1	783	366.8
11 08 58	766	783	366.7
11 08 59	765.9	782.9	366.6
11 09 00	765.8	782.9	366.6
11 09 01	765.7	782.8	366.4
11 09 02	765.6	782.8	366.3
11 09 03	765.5	782.8	366.2
11 09 04	765.5	782.8	366.1
11 09 05	765.3	782.8	366
11 09 06	765.2	782.7	365.9
11 09 07	765.1	782.7	365.8
11 09 08	765	782.7	365.8
11 09 09	764.9	782.6	365.7
11 09 10	764.8	782.6	365.6
11 09 11	764.7	782.6	365.5
11 09 12	764.7	782.6	365.5
11 09 13	764.6	782.5	365.4
11 09 14	764.5	782.5	365.3
11 09 15	764.4	782.5	365.2
11 09 16	764.3	782.4	365.2
11 09 17	764.2	782.4	365.2
11 09 18	764.2	782.4	365.1
11 09 19	764.1	782.3	365
11 09 20	764	782.3	364.9
11 09 21	763.9	782.2	364.8
11 09 22	763.7	782.2	364.7
11 09 23	763.6	782.2	364.6
11 09 24	763.5	782.2	364.6
11 09 25	763.4	782.1	364.5
11 09 26	763.4	782.1	364.4
11 09 27	763.3	782	364.3
11 09 28	763.1	782	364.2
11 09 29	763	781.9	364.1
11 09 30	762.9	781.9	364.1
11 09 31	762.8	781.9	364
11 09 32	762.6	781.9	363.9
11 09 33	762.5	781.8	363.8
11 09 34	762.5	781.8	363.7
11 09 35	762.4	781.7	363.6
11 09 36	762.3	781.7	363.5
11 09 37	762.2	781.6	363.4
11 09 38	762.1	781.6	363.4
11 09 39	762	781.6	363.3
11 09 40	761.9	781.6	363.2
11 09 41	761.8	781.5	363.1
11 09 42	761.8	781.5	363.1
11 09 43	761.6	781.5	363
11 09 44	761.5	781.4	362.9
11 09 45	761.4	781.4	362.8
11 09 46	761.3	781.3	362.8
11 09 47	761.1	781.3	362.7
11 09 48	761.1	781.3	362.6
11 09 49	761	781.2	362.5
11 09 50	760.9	781.2	362.4
11 09 51	760.7	781.1	362.3
11 09 52	760.6	781.1	362.2
11 09 53	760.5	781	362.1
11 09 54	760.4	781	362.1
11 09 55	760.2	781	362
11 09 56	760.2	780.9	361.9
11 09 57	760.1	780.9	361.9
11 09 58	760	780.8	361.8
11 09 59	759.9	780.8	361.7
11 10 00	759.7	780.7	361.7
11 10 01	759.6	780.6	361.6
11 10 02	759.5	780.6	361.5
11 10 03	759.3	780.6	361.4
11 10 04	759.3	780.5	361.3
11 10 05	759.2	780.5	361.2
11 10 06	759.1	780.4	361.1
11 10 07	759	780.4	361
11 10 08	758.9	780.3	361
11 10 09	758.7	780.3	360.9
11 10 10	758.6	780.3	360.8
11 10 11	758.5	780.3	360.7
11 10 12	758.5	780.2	360.6
11 10 13	758.4	780.2	360.5
11 10 14	758.3	780.1	360.4
11 10 15	758.1	780.1	360.4
11 10 16	758	780	360.4
11 10 17	757.9	780	360.3
11 10 18	757.9	780	360.2
11 10 19	757.7	779.9	360.1
11 10 20	757.6	779.9	360
11 10 21	757.5	779.8	359.9
11 10 22	757.4	779.7	359.8
11 10 23	757.2	779.7	359.7
11 10 24	757.1	779.7	359.7
11 10 25	756.9	779.6	359.6
11 10 26	756.9	779.6	359.5
11 10 27	756.8	779.5	359.4
11 10 28	756.7	779.4	359.3
11 10 29	756.5	779.4	359.3
11 10 30	756.4	779.3	359.3
11 10 31	756.3	779.3	359.2
11 10 32	756.1	779.3	359.1
11 10 33	756	779.2	359
11 10 34	756	779.1	358.9
11 10 35	755.8	779.1	358.8
11 10 36	755.7	779	358.8
11 10 37	755.6	779	358.7
11 10 38	755.4	778.9	358.7
11 10 39	755.3	778.9	358.6
11 10 40	755.1	778.9	358.5
11 10 41	755	778.8	358.4
11 10 42	755	778.7	358.3
11 10 43	754.9	778.7	358.2
11 10 44	754.8	778.6	358.1
11 10 45	754.7	778.6	358
11 10 46	754.5	778.5	358
11 10 47	754.4	778.5	357.9
11 10 48	754.4	778.5	357.8
